tripduration,starttime,stoptime,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth year,gender,birth_year,duration_min,start_hour,start_wday,is_weekend,start_month,dist_m,dist_km,speed_km_min,route_key,n_route_hour,med_dur,mad_dur,n_route,med_dur_route,mad_dur_route,exp_dur,exp_mad,z_robust,ratio,proxy_anom,proxy_anom_hard,age,gender_f,iforest_score,iforest_anom
1079,2015-01-03T01:05:00Z,2015-01-03T01:23:00Z,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,118,Linear Park - Mass. Ave. at Cameron Ave.,42.397828,-71.130516,857,Subscriber,1964,1,1964,17.983333333333334,1,6,1,1,4746.412079895402,4.746412079895402,0.26393394327499914,91->118,2,19.483333333333334,2.2239,18,22.275,2.335094999999999,6.766666666666667,3.4841099999999994,3.2193778803386435,2.657635467980296,0,0,62,1,0.653014815114285,1
1910,2015-01-03T10:03:00Z,2015-01-03T10:35:00Z,140,Danehy Park,42.388966,-71.132788,36,Boston Public Library - 700 Boylston St.,42.349673,-71.077303,798,Customer,1987,1,1987,31.833333333333332,10,6,1,1,6321.127952441141,6.321127952441141,0.1985694644745908,140->36,1,31.833333333333332,0,1,31.833333333333332,0,6.766666666666667,3.4841099999999994,7.194568101083683,4.704433497536946,0,1,39,1,0.6486370590182428,1
1213,2015-01-03T12:09:00Z,2015-01-03T12:29:00Z,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,776,Customer,1991,2,1991,20.216666666666665,12,6,1,1,1371.9065615132906,1.3719065615132906,0.06786017616718668,76->67,2,20.383333333333333,0.24710000000000173,42,5.941666666666666,0.7289449999999994,5.941666666666666,0.7289449999999994,19.583096118362853,3.402524544179523,1,1,35,2,0.6347689819927981,1
833,2015-01-03T12:21:00Z,2015-01-03T12:34:00Z,89,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,1015,Customer,1982,2,1982,13.883333333333333,12,6,1,1,3202.793992869305,3.2027939928693048,0.23069344486453577,89->67,1,13.883333333333333,0,1,13.883333333333333,0,6.766666666666667,3.4841099999999994,2.0426067680603275,2.0517241379310343,0,0,44,2,0.6312464781040594,1
1549,2015-01-03T13:28:00Z,2015-01-03T13:53:00Z,115,Porter Square Station,42.387995,-71.119084,115,Porter Square Station,42.387995,-71.119084,799,Customer,1987,1,1987,25.816666666666666,13,6,1,1,0,0,0,115->115,1,25.816666666666666,0,2,22.35,5.13968,6.766666666666667,3.4841099999999994,5.467680411927294,3.815270935960591,0,0,39,1,0.6317764244757372,1
1317,2015-01-03T14:12:00Z,2015-01-03T14:34:00Z,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,107,Ames St at Main St,42.3625,-71.08822,869,Customer,1978,2,1978,21.95,14,6,1,1,1021.7495629933594,1.0217495629933595,0.04654895503386604,75->107,13,6.516666666666667,1.1613699999999998,46,6.425000000000001,1.6185050000000007,6.425000000000001,1.6185050000000007,9.592185380953405,3.4163424124513613,0,1,48,2,0.6344943115400535,1
1476,2015-01-03T14:34:00Z,2015-01-03T14:59:00Z,142,Alewife Station at Russell Field,42.396105,-71.139459,142,Alewife Station at Russell Field,42.396105,-71.139459,857,Customer,1981,1,1981,24.6,14,6,1,1,0,0,0,142->142,5,41.31666666666667,2.7180999999999926,10,26.991666666666667,4.86787,6.766666666666667,3.4841099999999994,5.118475976169909,3.6354679802955667,0,0,45,1,0.6280466063630479,1
4425,2015-01-03T16:03:00Z,2015-01-03T17:17:00Z,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,781,Subscriber,\N,0,NA,73.75,16,6,1,1,0,0,0,74->74,1,73.75,0,5,28.166666666666668,19.767999999999997,6.766666666666667,3.4841099999999994,19.225378456286784,10.899014778325123,1,1,NA,0,0.6498581362546092,1
1539,2015-01-04T00:35:00Z,2015-01-04T01:01:00Z,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,118,Linear Park - Mass. Ave. at Cameron Ave.,42.397828,-71.130516,779,Subscriber,1964,1,1964,25.65,0,7,1,1,5093.558869215721,5.0935588692157205,0.19857929314681172,80->118,2,24.5,1.7049899999999978,5,24.166666666666668,1.2107899999999996,6.766666666666667,3.4841099999999994,5.41984418785094,3.79064039408867,0,0,62,1,0.6655627596913042,1
697,2015-01-04T12:35:00Z,2015-01-04T12:46:00Z,72,One Broadway / Kendall Sq at Main St / 3rd St,42.362613,-71.084105,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,1092,Customer,1946,1,1946,11.616666666666667,12,7,1,1,3073.458401196547,3.073458401196547,0.26457317657359086,72->74,1,11.616666666666667,0,7,14.3,3.2617200000000013,6.766666666666667,3.4841099999999994,1.3920341206219096,1.7167487684729066,0,0,80,1,0.6483287090397986,1
